Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,329.380005,330.899994,328.390015,329.750000,327.334625,872300
2022-12-30,326.160004,326.950012,323.209991,326.179993,323.790771,1238000
2023-01-03,317.670013,322.000000,314.450012,318.350006,316.018158,2374200
2023-01-04,318.720001,320.250000,315.070007,316.769989,314.449677,2088900
2023-01-05,305.269989,307.959991,302.170013,305.489990,303.252319,3133700
2023-01-06,307.820007,317.140015,307.570007,316.160004,313.844208,2538900
2023-01-09,322.269989,325.070007,320.119995,321.920013,319.562012,2471300
2023-01-10,322.390015,323.239990,319.369995,322.029999,319.671173,1613400
2023-01-11,326.079987,329.709991,324.959991,329.619995,327.205566,1928000
2023-01-12,328.209991,329.619995,325.829987,328.910004,326.500793,1277500
2023-01-13,330.000000,334.720001,330.000000,334.109985,331.662689,1882800
2023-01-17,335.489990,336.309998,329.820007,330.000000,327.582825,1714700
2023-01-18,333.500000,333.950012,324.179993,324.339996,321.964264,2945700
2023-01-19,324.000000,325.510010,321.459991,324.540009,322.162811,2703600
2023-01-20,324.519989,328.829987,322.809998,328.619995,326.212921,1792700
2023-01-23,325.850006,328.570007,324.269989,326.489990,324.098511,1931100
2023-01-24,325.559998,328.850006,323.739990,328.630005,326.222839,1625900
2023-01-25,324.730011,327.260010,323.989990,326.359985,323.969482,1887200
2023-01-26,326.399994,329.529999,324.720001,329.510010,327.096405,1587100
2023-01-27,324.260010,327.600006,324.089996,324.700012,322.321655,1819800
2023-01-30,324.399994,328.540009,324.179993,325.029999,322.649231,2163800
2023-01-31,326.760010,331.260010,326.450012,330.940002,328.515900,2330300
2023-02-01,330.730011,333.750000,326.000000,331.079987,328.654877,1879500
2023-02-02,331.730011,334.510010,327.109985,332.049988,329.617767,2524000
2023-02-03,325.170013,328.890015,323.440002,323.600006,321.229706,2663000
2023-02-06,322.380005,323.709991,319.839996,322.859985,320.495087,2322900
2023-02-07,318.899994,337.420013,318.880005,337.119995,334.650635,5990100
2023-02-08,340.600006,346.670013,333.450012,334.250000,331.801666,3429500
2023-02-09,336.220001,337.989990,331.119995,332.570007,330.134003,2655700
2023-02-10,331.179993,332.630005,328.190002,332.040009,329.607880,2515900
2023-02-13,333.059998,335.950012,332.130005,334.059998,331.613068,1782700
2023-02-14,333.390015,335.279999,330.380005,334.000000,331.553497,2175000
2023-02-15,332.000000,332.709991,329.179993,332.529999,330.094299,2493000
2023-02-16,325.670013,327.760010,323.369995,323.500000,321.130402,3209100
2023-02-17,320.880005,323.380005,319.230011,321.519989,319.164886,3231600
2023-02-21,322.940002,328.369995,322.130005,324.559998,322.182648,3245700
2023-02-22,327.859985,331.869995,325.049988,330.029999,327.612579,3595100
2023-02-23,331.730011,334.339996,326.410004,331.890015,329.458984,3836400
2023-02-24,323.089996,348.209991,322.609985,347.660004,345.113434,14737800
2023-02-27,346.250000,348.320007,344.200012,344.480011,341.956757,3708600
2023-02-28,344.470001,351.149994,344.200012,348.369995,345.818237,3274400
2023-03-01,350.100006,356.179993,349.049988,350.049988,347.485931,3474000
2023-03-02,350.390015,354.380005,349.549988,351.750000,349.173492,2266600
2023-03-03,355.019989,362.739990,353.329987,362.380005,359.725616,2940200
2023-03-06,360.000000,360.679993,356.380005,358.049988,355.427338,3846400
2023-03-07,356.000000,357.119995,350.459991,354.140015,351.546021,2218100
2023-03-08,353.000000,355.720001,350.399994,354.899994,352.300415,2222800
2023-03-09,352.089996,353.299988,344.209991,345.920013,343.386200,2489100
2023-03-10,346.190002,347.390015,340.109985,341.540009,339.038269,1534100
2023-03-13,338.739990,340.630005,334.089996,334.829987,333.622864,2228900
2023-03-14,340.940002,346.390015,339.260010,342.440002,341.205444,2580100
2023-03-15,329.100006,332.690002,324.109985,330.929993,329.736938,3395300
2023-03-16,328.570007,339.600006,328.119995,338.290009,337.070404,1750100
2023-03-17,335.799988,336.910004,329.910004,330.489990,329.298523,5702300
2023-03-20,332.429993,339.540009,331.950012,338.809998,337.588531,2305000
2023-03-21,343.279999,344.149994,339.019989,341.299988,340.069550,1792600
2023-03-22,341.040009,344.619995,338.690002,339.149994,337.927307,1434200
2023-03-23,340.049988,346.119995,339.549988,341.329987,340.099426,2082100
2023-03-24,339.510010,345.450012,337.950012,344.750000,343.507111,1793800
2023-03-27,347.829987,349.989990,345.070007,347.100006,345.848633,1475900
2023-03-28,346.869995,348.019989,344.559998,347.369995,346.117676,1396600
2023-03-29,351.609985,352.850006,348.380005,349.730011,348.469177,1132600
2023-03-30,350.450012,351.700012,348.420013,351.540009,350.272644,1120700
2023-03-31,350.369995,355.630005,350.049988,355.440002,354.158569,1513500
2023-04-03,353.450012,358.989990,353.450012,358.100006,356.808990,1878500
2023-04-04,357.260010,361.429993,356.510010,357.799988,356.510040,2299100
2023-04-05,354.760010,356.529999,353.290009,355.609985,354.327942,2199800
2023-04-06,352.250000,357.209991,352.010010,356.579987,355.294464,1627700
2023-04-10,355.140015,358.739990,354.670013,358.559998,357.267334,1311500
2023-04-11,359.220001,360.859985,357.040009,358.250000,356.958435,975100
2023-04-12,360.690002,362.850006,357.950012,359.350006,358.054474,1613700
2023-04-13,358.250000,364.140015,357.220001,361.959991,360.655060,1667600
2023-04-14,360.970001,362.690002,357.670013,359.670013,358.373322,1078300
2023-04-17,359.820007,362.399994,359.510010,362.350006,361.043671,1421500
2023-04-18,364.059998,365.839996,361.779999,364.869995,363.554565,1085000
2023-04-19,362.519989,365.500000,361.589996,365.309998,363.992981,1163200
2023-04-20,363.029999,367.510010,362.769989,367.350006,366.025635,1095500
2023-04-21,364.880005,367.149994,364.369995,366.209991,364.889740,1677800
2023-04-24,367.369995,369.070007,366.149994,368.010010,366.683258,1237600
2023-04-25,366.779999,369.649994,365.010010,367.059998,365.736664,1735800
2023-04-26,364.970001,366.130005,362.279999,365.000000,363.684113,2055500
2023-04-27,365.589996,367.899994,359.829987,365.640015,364.321808,1898600
2023-04-28,365.630005,370.540009,364.899994,369.450012,368.118073,1878900
2023-05-01,370.799988,373.579987,370.070007,372.309998,370.967743,1018000
2023-05-02,370.440002,371.720001,367.339996,370.040009,368.705933,1124600
2023-05-03,369.510010,371.260010,363.359985,363.500000,362.189514,1418900
2023-05-04,362.640015,365.209991,357.459991,360.799988,359.499237,1545800
2023-05-05,364.220001,367.459991,363.579987,366.369995,365.049164,1113600
2023-05-08,368.000000,368.670013,365.049988,365.670013,364.351715,1261700
2023-05-09,365.000000,367.500000,362.730011,364.700012,363.385193,1015500
2023-05-10,369.839996,370.179993,364.000000,368.899994,367.570038,1304300
2023-05-11,368.429993,369.660004,365.019989,367.040009,365.716766,1336700
2023-05-12,366.869995,370.760010,366.450012,370.329987,368.994873,1189400
2023-05-15,371.089996,371.320007,365.459991,368.799988,367.470398,1378800
2023-05-16,367.290009,368.049988,364.559998,365.899994,364.580841,1065300
2023-05-17,367.130005,367.130005,364.010010,365.010010,363.694092,1296300
2023-05-18,363.769989,368.720001,362.220001,368.190002,366.862610,1116100
2023-05-19,369.570007,372.399994,368.940002,371.489990,370.150696,1140900
2023-05-22,372.500000,373.070007,366.320007,366.390015,365.069122,1207900
2023-05-23,364.000000,364.010010,353.700012,353.940002,352.663971,2157000
2023-05-24,351.320007,356.529999,351.049988,354.859985,353.580658,1801200
2023-05-25,356.149994,359.119995,354.940002,356.589996,355.304413,1994800
2023-05-26,357.119995,360.630005,354.799988,356.209991,354.925781,1805800
2023-05-30,356.200012,356.760010,350.600006,354.910004,353.630493,1801900
2023-05-31,354.109985,357.410004,352.440002,353.660004,352.384979,2958100
2023-06-01,355.279999,357.329987,353.230011,355.489990,355.489990,1239500
2023-06-02,357.600006,361.640015,357.109985,360.470001,360.470001,1337700
2023-06-05,361.760010,367.220001,360.230011,362.809998,362.809998,1724500
2023-06-06,362.309998,364.750000,357.790009,359.739990,359.739990,1638000
2023-06-07,358.619995,363.600006,358.440002,362.290009,362.290009,1441000
2023-06-08,362.100006,362.690002,359.359985,362.209991,362.209991,1056300
2023-06-09,362.489990,362.489990,358.750000,360.760010,360.760010,1121600
2023-06-12,362.470001,362.470001,358.589996,362.010010,362.010010,1021400
2023-06-13,364.230011,373.329987,363.230011,373.260010,373.260010,2065900
